SI,DateAndTime,SolarPower,DayGenneration,TotalGenneration,CUF,,
94,16-12-2023 11:20,49.44,89.6,3764.2,4.67,,
95,16-12-2023 11:25,50.42,93.6,3768.2,4.87,,
96,16-12-2023 12:05,50.57,98.6,3773.2,5.14,,
97,16-12-2023 12:10,53,103,3777.6,5.36,,
98,16-12-2023 12:15,52.27,107.5,3782.1,5.6,,
99,16-12-2023 12:20,52.99,111.9,3786.5,5.83,,
100,16-12-2023 12:25,50.64,116.3,3790.9,6.06,,
101,16-12-2023 12:30,53.58,120.6,3795.2,6.28,,
102,16-12-2023 12:35,53.14,125.3,3799.9,6.53,,
103,16-12-2023 12:40,51.19,129.5,3804.1,6.74,,
104,16-12-2023 12:45,52.85,134,3808.6,6.98,,
105,16-12-2023 12:50,50.93,138.3,3812.9,7.2,,
106,16-12-2023 12:55,53.05,142.8,3817.4,7.44,,
107,16-12-2023 13:00,49.63,147.1,3821.7,7.66,,
108,16-12-2023 13:05,54.04,151.4,3826,7.89,,
109,16-12-2023 13:10,52.03,155.9,3830.5,8.12,,
110,16-12-2023 13:15,50.06,160.2,3834.8,8.34,,
111,16-12-2023 13:20,50.26,164.2,3838.8,8.55,,
112,16-12-2023 13:25,49.43,168.6,3843.2,8.78,,
113,16-12-2023 13:30,50.54,172.8,3847.4,9,,
114,16-12-2023 13:35,47.85,176.9,3851.5,9.21,,
115,16-12-2023 13:40,48.81,180.9,3855.5,9.42,,
116,16-12-2023 13:45,46.03,185,3859.6,9.64,,
117,16-12-2023 13:50,47.35,188.9,3863.5,9.84,,
118,16-12-2023 13:55,43.11,192.8,3867.4,10.04,,
119,16-12-2023 14:00,45.08,196.4,3871,10.23,,
120,16-12-2023 14:05,45.85,200.2,3874.8,10.43,,
121,16-12-2023 14:10,41.09,203.9,3878.5,10.62,,
122,16-12-2023 14:15,41.5,207.5,3882.1,10.81,,
123,16-12-2023 14:20,41.89,210.9,3885.5,10.98,,
124,16-12-2023 14:25,41.66,214.3,3888.9,11.16,,
125,16-12-2023 14:30,39.34,217.9,3892.5,11.35,,
126,16-12-2023 14:35,39.54,221.2,3895.8,11.52,,
127,16-12-2023 14:40,39.5,224.5,3899.1,11.69,,
128,16-12-2023 14:45,37.2,227.5,3902.1,11.85,,
129,16-12-2023 14:50,36.06,230.7,3905.3,12.02,,
130,16-12-2023 14:55,35.9,233.7,3908.3,12.17,,
131,16-12-2023 15:00,35.09,236.7,3911.3,12.33,,
132,16-12-2023 15:05,33.75,239.6,3914.2,12.48,,
133,16-12-2023 15:10,30.77,242.2,3916.8,12.61,,
134,16-12-2023 15:15,31.64,244.9,3919.5,12.76,,
135,16-12-2023 15:20,29.03,247.3,3921.9,12.88,,
136,16-12-2023 15:25,28.17,249.8,3924.4,13.01,,
137,16-12-2023 15:30,27.63,252.1,3926.7,13.13,,
138,16-12-2023 15:35,27.51,254.4,3929,13.25,,
139,16-12-2023 15:40,24.09,256.7,3931.3,13.37,,
140,16-12-2023 15:45,22.67,258.6,3933.2,13.47,,
141,16-12-2023 15:50,21.99,260.4,3935,13.56,,
142,16-12-2023 15:55,21.14,262.3,3936.9,13.66,,
143,16-12-2023 16:00,18.94,264.1,3938.7,13.76,,
144,16-12-2023 16:05,18.04,265.5,3940.1,13.83,,
145,16-12-2023 16:10,16.73,267,3941.6,13.91,,
146,16-12-2023 16:15,16.05,268.4,3943,13.98,,
147,16-12-2023 16:20,14.35,269.6,3944.2,14.04,,
148,16-12-2023 16:25,13.89,270.8,3945.4,14.1,,
149,16-12-2023 16:30,12.39,272,3946.6,14.17,,
150,16-12-2023 16:35,11.24,272.9,3947.5,14.21,,
151,16-12-2023 16:40,10.55,273.8,3948.4,14.26,,
152,16-12-2023 16:45,9.49,274.6,3949.2,14.3,,
153,16-12-2023 16:50,8.19,275.4,3950,14.34,,
154,16-12-2023 16:55,7.13,276,3950.6,14.37,,
155,16-12-2023 17:00,6.48,276.6,3951.2,14.41,,
156,16-12-2023 17:05,5.69,277.1,3951.7,14.43,,
157,16-12-2023 17:10,4.94,277.6,3952.2,14.46,,
158,16-12-2023 17:15,4.17,278,3952.6,14.48,,
159,16-12-2023 17:20,3.37,278.4,3953,14.5,,
160,16-12-2023 17:25,2.82,278.5,3953.1,14.51,,
161,16-12-2023 17:30,2.35,278.8,3953.4,14.52,,
162,16-12-2023 17:35,1.81,278.9,3953.5,14.53,,
163,16-12-2023 17:40,1.27,279.2,3953.8,14.54,,
164,16-12-2023 17:45,0.89,279.2,3953.8,14.54,,
165,16-12-2023 17:50,0.56,279.3,3953.9,14.55,,
166,16-12-2023 17:55,0.31,279.3,3953.9,14.55,,
167,16-12-2023 18:00,0.12,279.3,3953.9,14.55,,
168,16-12-2023 18:05,0.02,279.3,3953.9,14.55,,
169,16-12-2023 18:10,0.01,279.3,3953.9,14.55,,
170,16-12-2023 18:15,0,279.3,3953.9,14.55,,
171,16-12-2023 18:20,0,279.3,3953.9,14.55,,
172,16-12-2023 18:25,0,279.3,3953.9,14.55,,
173,16-12-2023 18:30,0,279.3,3953.9,14.55,,
174,16-12-2023 18:35,0,279.3,3953.9,14.55,,
175,16-12-2023 18:40,0,279.3,3953.9,14.55,,
176,16-12-2023 18:45,0,279.3,3953.9,14.55,,
177,16-12-2023 18:50,0,279.3,3953.9,14.55,,
178,16-12-2023 18:55,0,279.3,3953.9,14.55,,
179,17-12-2023 06:00,0,0,3953.9,0,,
180,17-12-2023 06:05,0,0,3953.9,0,,
181,17-12-2023 06:10,0,0,3953.9,0,,
182,17-12-2023 06:15,0,0,3953.9,0,,
183,17-12-2023 06:20,0,0,3953.9,0,,
184,17-12-2023 06:25,0,0,3953.9,0,,
185,17-12-2023 06:30,0,0,3953.9,0,,
186,17-12-2023 06:35,0,0,3953.9,0,,
187,17-12-2023 06:40,0,0,3953.9,0,,
188,17-12-2023 06:45,0,0,3953.9,0,,
189,17-12-2023 06:50,0,0,3953.9,0,,
190,17-12-2023 06:55,0,0,3953.9,0,,
191,17-12-2023 07:00,0.09,0,3953.9,0,,
192,17-12-2023 07:05,0.16,0,3953.9,0,,
193,17-12-2023 07:10,0.36,0,3953.9,0,,
194,17-12-2023 07:15,0.74,0,3953.9,0,,
195,17-12-2023 07:20,1.11,0.1,3954,0.01,,
196,17-12-2023 07:25,1.57,0.1,3954,0.01,,
197,17-12-2023 07:30,1.83,0.3,3954.2,0.02,,
198,17-12-2023 07:35,2.18,0.4,3954.3,0.02,,
199,17-12-2023 07:40,3.34,0.7,3954.6,0.04,,
200,17-12-2023 07:45,3.08,0.9,3954.8,0.05,,
201,17-12-2023 07:50,2.96,1.1,3955,0.06,,
202,17-12-2023 07:55,3.95,1.5,3955.4,0.08,,
203,17-12-2023 08:00,4,1.8,3955.7,0.09,,
204,17-12-2023 08:05,5.25,2.2,3956.1,0.11,,
205,17-12-2023 08:10,5.06,2.6,3956.5,0.14,,
206,17-12-2023 08:15,4.75,3,3956.9,0.16,,
207,17-12-2023 08:20,4.9,3.4,3957.3,0.18,,
208,17-12-2023 08:25,4.13,3.8,3957.7,0.2,,
209,17-12-2023 08:30,5.79,4.1,3958,0.21,,
210,17-12-2023 08:35,6.67,4.7,3958.6,0.24,,
211,17-12-2023 08:40,7.27,5.3,3959.2,0.28,,
212,17-12-2023 08:45,7.02,5.9,3959.8,0.31,,
213,17-12-2023 08:50,5.7,6.3,3960.2,0.33,,
214,17-12-2023 08:55,6.37,6.8,3960.7,0.35,,
215,17-12-2023 09:00,8.71,7.5,3961.4,0.39,,
216,17-12-2023 09:05,11.38,8.3,3962.2,0.43,,
217,17-12-2023 09:10,11.57,9.3,3963.2,0.48,,
218,17-12-2023 09:15,14.04,10.3,3964.2,0.54,,
219,17-12-2023 09:20,10.17,11.3,3965.2,0.59,,
220,17-12-2023 09:25,10.46,12.1,3966,0.63,,
221,17-12-2023 09:30,14.14,13.1,3967,0.68,,
222,17-12-2023 09:35,16.17,14.4,3968.3,0.75,,
223,17-12-2023 09:40,16.13,16,3969.9,0.83,,
224,17-12-2023 09:45,16.98,17.4,3971.3,0.91,,
225,17-12-2023 09:50,21.59,19,3972.9,0.99,,
226,17-12-2023 09:55,27.61,21.1,3975,1.1,,
227,17-12-2023 10:00,32.42,23.5,3977.4,1.22,,
228,17-12-2023 10:05,35.4,26.2,3980.1,1.36,,
229,17-12-2023 10:10,34.1,29.5,3983.4,1.54,,
230,17-12-2023 10:15,34.15,32.3,3986.2,1.68,,
231,17-12-2023 10:20,36.19,35.1,3989,1.83,,
232,17-12-2023 10:25,37.35,38,3991.9,1.98,,
233,17-12-2023 10:30,36.61,40.9,3994.8,2.13,,
234,17-12-2023 10:35,38.57,43.7,3997.6,2.28,,
235,17-12-2023 10:40,35.14,46.8,4000.7,2.44,,
236,17-12-2023 10:45,39.97,50.2,4004.1,2.61,,
237,17-12-2023 10:50,38.28,53.5,4007.4,2.79,,
238,17-12-2023 10:55,41.36,56.4,4010.3,2.94,,
239,17-12-2023 11:00,29.27,59.7,4013.6,3.11,,
240,17-12-2023 11:05,37.05,62.5,4016.4,3.26,,
241,17-12-2023 11:10,33.87,65.9,4019.8,3.43,,
242,17-12-2023 11:15,21.88,68.2,4022.1,3.55,,
243,17-12-2023 11:20,42.67,70.9,4024.8,3.69,,
244,17-12-2023 11:25,38.47,74.3,4028.2,3.87,,
245,17-12-2023 11:30,40.95,77.7,4031.6,4.05,,
246,17-12-2023 11:35,42.41,81.1,4035,4.22,,
247,17-12-2023 11:40,45.95,84.9,4038.8,4.42,,
248,17-12-2023 11:45,44.41,88.6,4042.5,4.61,,
249,17-12-2023 11:50,46.84,92.5,4046.4,4.82,,
250,17-12-2023 11:55,44.77,96.4,4050.3,5.02,,
251,17-12-2023 12:00,49.8,100.3,4054.2,5.22,,
252,17-12-2023 12:05,46.7,104.2,4058.1,5.43,,
253,17-12-2023 12:10,44.36,108.2,4062.1,5.64,,
254,17-12-2023 12:15,40.13,111.5,4065.4,5.81,,
255,17-12-2023 12:20,27.12,114.3,4068.2,5.95,,
256,17-12-2023 12:25,32.68,117.2,4071.1,6.1,,
257,17-12-2023 12:30,35.15,120.4,4074.3,6.27,,
258,17-12-2023 12:35,47,124.6,4078.5,6.49,,
259,17-12-2023 12:40,47.17,128.4,4082.3,6.69,,
260,17-12-2023 12:45,41.35,132.1,4086,6.88,,
261,17-12-2023 12:50,39.08,135.9,4089.8,7.08,,
262,17-12-2023 12:55,41.2,139.2,4093.1,7.25,,
263,17-12-2023 13:00,44.44,142.9,4096.8,7.44,,
264,17-12-2023 13:05,50.58,146.9,4100.8,7.65,,
265,17-12-2023 13:10,48.52,150.1,4104,7.82,,
266,17-12-2023 13:15,50.78,154.4,4108.3,8.04,,
267,17-12-2023 13:20,43.68,158.4,4112.3,8.25,,
268,17-12-2023 13:25,48.04,162,4115.9,8.44,,
269,17-12-2023 13:30,46.01,166,4119.9,8.65,,
270,17-12-2023 13:35,35.34,169.7,4123.6,8.84,,
271,17-12-2023 13:40,45.16,172.6,4126.5,8.99,,
272,17-12-2023 13:45,44.65,176.5,4130.4,9.19,,
273,17-12-2023 13:50,40.12,180.2,4134.1,9.39,,
274,17-12-2023 13:55,45.24,183.9,4137.8,9.58,,
275,17-12-2023 14:00,41.99,187.6,4141.5,9.77,,
276,17-12-2023 14:05,41.3,191.1,4145,9.95,,
277,17-12-2023 14:10,41.15,194.5,4148.4,10.13,,
278,17-12-2023 14:15,39.47,197.9,4151.8,10.31,,
279,17-12-2023 14:20,36.44,201.1,4155,10.47,,
280,17-12-2023 14:25,36.24,204.2,4158.1,10.64,,
281,17-12-2023 14:30,34.51,207.1,4161,10.79,,
282,17-12-2023 14:35,36.35,210.1,4164,10.94,,
283,17-12-2023 14:40,34.07,212.9,4166.8,11.09,,
284,17-12-2023 14:45,32.16,215.9,4169.8,11.24,,
285,17-12-2023 14:50,33.03,218.7,4172.6,11.39,,
286,17-12-2023 14:55,31.88,221.3,4175.2,11.53,,
287,17-12-2023 15:00,30.88,224.1,4178,11.67,,
288,17-12-2023 15:05,28.81,226.6,4180.5,11.8,,
289,17-12-2023 15:10,25.95,228.7,4182.6,11.91,,
290,17-12-2023 15:15,27.43,231.1,4185,12.04,,
291,17-12-2023 15:20,24.87,233.4,4187.3,12.16,,
292,17-12-2023 15:25,16.88,235.2,4189.1,12.25,,
293,17-12-2023 15:30,22.62,236.8,4190.7,12.33,,
294,17-12-2023 15:35,21.94,238.8,4192.7,12.44,,
295,17-12-2023 15:40,21.1,240.4,4194.3,12.52,,
296,17-12-2023 15:45,20.34,242.2,4196.1,12.61,,
297,17-12-2023 15:50,20.53,244,4197.9,12.71,,
298,17-12-2023 15:55,18.8,245.8,4199.7,12.8,,
299,17-12-2023 16:00,18.23,247.3,4201.2,12.88,,
300,17-12-2023 16:05,14.98,248.6,4202.5,12.95,,
301,17-12-2023 16:10,14.04,249.8,4203.7,13.01,,
302,17-12-2023 16:15,14.4,251,4204.9,13.07,,
303,17-12-2023 16:20,14.69,252.2,4206.1,13.14,,
304,17-12-2023 16:25,14.91,253.4,4207.3,13.2,,
305,17-12-2023 16:30,10.8,254.5,4208.4,13.26,,
306,17-12-2023 16:35,8.78,255.4,4209.3,13.3,,
307,17-12-2023 16:40,6.84,255.9,4209.8,13.33,,
308,17-12-2023 16:45,7.84,256.7,4210.6,13.37,,
309,17-12-2023 16:50,6.61,257.2,4211.1,13.4,,
310,17-12-2023 16:55,7.44,257.9,4211.8,13.43,,
311,17-12-2023 17:00,6.82,258.4,4212.3,13.46,,
312,17-12-2023 17:05,5.92,258.9,4212.8,13.48,,
313,17-12-2023 17:10,4.08,259.3,4213.2,13.51,,
314,17-12-2023 17:15,3.11,259.6,4213.5,13.52,,
315,17-12-2023 17:20,2.35,260,4213.9,13.54,,
316,17-12-2023 17:25,1.87,260.1,4214,13.55,,
317,17-12-2023 17:30,1.71,260.3,4214.2,13.56,,
318,17-12-2023 17:35,1.55,260.5,4214.4,13.57,,
319,17-12-2023 17:40,1.24,260.6,4214.5,13.57,,
320,17-12-2023 17:45,0.86,260.6,4214.5,13.57,,
321,17-12-2023 17:50,0.58,260.7,4214.6,13.58,,
322,17-12-2023 17:55,0.3,260.7,4214.6,13.58,,
323,17-12-2023 18:00,0.1,260.7,4214.6,13.58,,
324,17-12-2023 18:05,0.02,260.7,4214.6,13.58,,
325,17-12-2023 18:10,0.01,260.7,4214.6,13.58,,
326,17-12-2023 18:15,0,260.7,4214.6,13.58,,
327,17-12-2023 18:20,0,260.7,4214.6,13.58,,
328,17-12-2023 18:25,0,260.7,4214.6,13.58,,
329,17-12-2023 18:30,0,260.7,4214.6,13.58,,
330,17-12-2023 18:35,0,260.7,4214.6,13.58,,
331,17-12-2023 18:40,0,260.7,4214.6,13.58,,
332,17-12-2023 18:45,0,260.7,4214.6,13.58,,
333,17-12-2023 18:50,0,260.7,4214.6,13.58,,
334,17-12-2023 18:55,0,260.7,4214.6,13.58,,
335,18-12-2023 06:00,0,0,4214.6,0,,
336,18-12-2023 06:05,0,0,4214.6,0,,
337,18-12-2023 06:10,0,0,4214.6,0,,
338,18-12-2023 06:15,0,0,4214.6,0,,
339,18-12-2023 06:20,0,0,4214.6,0,,
340,18-12-2023 06:25,0,0,4214.6,0,,
341,18-12-2023 06:30,0,0,4214.6,0,,
342,18-12-2023 06:35,0,0,4214.6,0,,
343,18-12-2023 06:40,0,0,4214.6,0,,
344,18-12-2023 06:45,0,0,4214.6,0,,
345,18-12-2023 06:50,0,0,4214.6,0,,
346,18-12-2023 06:55,0,0,4214.6,0,,
347,18-12-2023 07:00,0,0,4214.6,0,,
348,18-12-2023 07:05,0,0,4214.6,0,,
349,18-12-2023 07:10,0.25,0,4214.6,0,,
350,18-12-2023 07:15,0.18,0,4214.6,0,,
351,18-12-2023 07:20,0.22,0,4214.6,0,,
352,18-12-2023 07:25,0.3,0,4214.6,0,,
353,18-12-2023 07:30,0.56,0,4214.6,0,,
354,18-12-2023 07:35,0.57,0.1,4214.7,0.01,,
355,18-12-2023 07:40,0.58,0.1,4214.7,0.01,,
356,18-12-2023 07:45,0.69,0.1,4214.7,0.01,,
357,18-12-2023 07:50,0.92,0.2,4214.8,0.01,,
358,18-12-2023 07:55,1.15,0.3,4214.9,0.02,,
359,18-12-2023 08:00,1.06,0.4,4215,0.02,,
360,18-12-2023 08:05,1.27,0.5,4215.1,0.03,,
361,18-12-2023 08:10,2.04,0.6,4215.2,0.03,,
362,18-12-2023 08:15,2,0.8,4215.4,0.04,,
363,18-12-2023 08:20,4.5,0.9,4215.5,0.05,,
364,18-12-2023 08:25,6.67,1.6,4216.2,0.08,,
365,18-12-2023 08:30,6.16,2,4216.6,0.1,,
366,18-12-2023 08:35,8.03,2.6,4217.2,0.14,,
367,18-12-2023 08:40,9.44,3.4,4218,0.18,,
368,18-12-2023 08:45,12.2,4.3,4218.9,0.22,,
369,18-12-2023 08:50,13.44,5.4,4220,0.28,,
370,18-12-2023 08:55,14.92,6.6,4221.2,0.34,,
371,18-12-2023 09:00,14.04,7.9,4222.5,0.41,,
372,18-12-2023 09:05,13.96,9,4223.6,0.47,,
373,18-12-2023 09:10,16.22,10.4,4225,0.54,,
374,18-12-2023 09:15,22.35,11.9,4226.5,0.62,,
375,18-12-2023 09:20,19.89,13.7,4228.3,0.71,,
376,18-12-2023 09:25,20.93,15.6,4230.2,0.81,,
377,18-12-2023 09:30,20.73,17.3,4231.9,0.9,,
378,18-12-2023 09:35,16.3,18.9,4233.5,0.98,,
379,18-12-2023 09:40,17.38,20.3,4234.9,1.06,,
380,18-12-2023 09:45,19.23,22,4236.6,1.15,,
381,18-12-2023 09:50,23.01,23.7,4238.3,1.23,,
382,18-12-2023 09:55,28.63,25.9,4240.5,1.35,,
383,18-12-2023 10:00,29.04,28.2,4242.8,1.47,,
384,18-12-2023 10:05,31.28,30.7,4245.3,1.6,,
385,18-12-2023 10:10,32.5,33.5,4248.1,1.74,,
386,18-12-2023 10:15,32.58,36.1,4250.7,1.88,,
387,18-12-2023 10:20,31.94,38.7,4253.3,2.02,,
388,18-12-2023 10:25,30.59,41.5,4256.1,2.16,,
389,18-12-2023 10:30,34.88,44.2,4258.8,2.3,,
390,18-12-2023 10:35,37.86,47.3,4261.9,2.46,,
391,18-12-2023 10:40,40.02,50.5,4265.1,2.63,,
392,18-12-2023 10:45,40.33,53.9,4268.5,2.81,,
393,18-12-2023 10:50,42.9,57.2,4271.8,2.98,,
394,18-12-2023 10:55,44.16,60.9,4275.5,3.17,,
395,18-12-2023 11:00,44.96,64.8,4279.4,3.37,,
396,18-12-2023 11:05,44.41,68.4,4283,3.56,,
397,18-12-2023 11:10,46.73,72.2,4286.8,3.76,,
398,18-12-2023 11:15,45.23,76.1,4290.7,3.96,,
399,18-12-2023 11:20,41.63,79.9,4294.5,4.16,,
400,18-12-2023 11:25,48.55,83.7,4298.3,4.36,,
401,18-12-2023 11:30,25.37,87.4,4302,4.55,,
402,18-12-2023 11:35,31.57,89.8,4304.4,4.68,,
403,18-12-2023 11:40,40.35,93.4,4308,4.86,,
404,18-12-2023 11:45,41.14,97,4311.6,5.05,,
405,18-12-2023 11:50,47.07,99.8,4314.4,5.2,,
406,18-12-2023 11:55,45.8,103.8,4318.4,5.41,,
407,18-12-2023 12:00,48.26,107.7,4322.3,5.61,,
408,18-12-2023 12:05,46.43,111.6,4326.2,5.81,,
409,18-12-2023 12:10,43.78,115.6,4330.2,6.02,,
410,18-12-2023 12:15,46.7,119.1,4333.7,6.2,,
411,18-12-2023 12:20,46.72,123.1,4337.7,6.41,,
412,18-12-2023 12:25,43.25,126.6,4341.2,6.59,,
413,18-12-2023 12:30,47.11,130.5,4345.1,6.8,,
414,18-12-2023 12:35,48.75,134.5,4349.1,7.01,,
415,18-12-2023 12:40,45.5,138.3,4352.9,7.2,,
416,18-12-2023 12:45,42.81,142.1,4356.7,7.4,,
417,18-12-2023 12:50,48.93,145.8,4360.4,7.59,,
418,18-12-2023 12:55,45.32,149.8,4364.4,7.8,,
419,18-12-2023 13:00,44.3,153.5,4368.1,7.99,,
420,18-12-2023 13:05,46.58,157.5,4372.1,8.2,,
421,18-12-2023 13:10,47.4,161.3,4375.9,8.4,,
422,18-12-2023 13:15,46.09,165.2,4379.8,8.6,,
423,18-12-2023 13:20,46.59,169.1,4383.7,8.81,,
424,18-12-2023 13:25,47.13,173.1,4387.7,9.02,,
425,18-12-2023 13:30,28.06,175.7,4390.3,9.15,,
426,18-12-2023 13:35,37.58,178.9,4393.5,9.32,,
427,18-12-2023 13:40,46.46,182.7,4397.3,9.52,,
428,18-12-2023 13:45,46.88,186.5,4401.1,9.71,,
429,18-12-2023 13:50,37.76,190.2,4404.8,9.91,,
430,18-12-2023 13:55,26.19,193.4,4408,10.07,,
431,18-12-2023 14:00,42.79,196.7,4411.3,10.24,,
432,18-12-2023 14:05,25.32,199.7,4414.3,10.4,,
433,18-12-2023 14:10,25.46,202,4416.6,10.52,,
434,18-12-2023 14:15,33.9,204.6,4419.2,10.66,,
435,18-12-2023 14:20,35.19,207.5,4422.1,10.81,,
436,18-12-2023 14:25,24.15,210.3,4424.9,10.95,,
437,18-12-2023 14:30,31.49,212.8,4427.4,11.08,,
438,18-12-2023 14:35,40.16,215.7,4430.3,11.23,,
439,18-12-2023 14:40,38.56,219.3,4433.9,11.42,,
440,18-12-2023 14:45,36.85,222.1,4436.7,11.57,,
441,18-12-2023 14:50,35.71,225,4439.6,11.72,,
442,18-12-2023 14:55,32.17,228,4442.6,11.88,,
443,18-12-2023 15:00,27.89,230.5,4445.1,12.01,,
444,18-12-2023 15:05,29.52,233,4447.6,12.14,,
445,18-12-2023 15:10,32.49,235.4,4450,12.26,,
446,18-12-2023 15:15,31.5,238,4452.6,12.4,,
447,18-12-2023 15:20,30.97,240.5,4455.1,12.53,,
448,18-12-2023 15:25,29.48,243.2,4457.8,12.67,,
449,18-12-2023 15:30,28.01,245.6,4460.2,12.79,,
450,18-12-2023 15:35,21.54,247.9,4462.5,12.91,,
